第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
Makhalla(即社区)、Nuronii基金会、其他非政府组织和社区组织提供的物质和精神支持的规模将得到扩大，以确保他们享有福祉和体面的生活条件。	The scale of material and moral support provided by the makhalla, or neighbourhood community, the Nuronii Foundation and other non-governmental and community organizations will be expanded, in order to ensure their well-being and decent living conditions.
因此，人、人的权利和利益代表我国最崇高的价值观念。	The human being and his or her rights and interests thus represent the highest value of our Homeland.
新南威尔士公民自由理事会是一个致力于保护和促进所有澳大利亚人的人权的非政府组织。	The New South Wales Council for Civil Liberties is an NGO committed to the protection and promotion of the human rights of all Australians.
但是，"并不要求一项立场声明须以特定的形式或基调提出"。	There is, however, "no requirement that a statement of position be made in a particular form or tone".
国际法院经常依靠自身或其前身 -- -- 常设国际法院 -- -- 以往的裁决。	The International Court of Justice frequently relies on its own previous decisions or those of its predecessor, the Permanent Court of International Justice.
37. 监督厅确认，国贸中心需要采取基于风险的办法，2014年监督厅的咨询报告和审计委员会的各种报告都认为，该中心在这方面很薄弱。	37. OIOS ascertained a need for ITC to take a risk-based approach, an area which a 2014 OIOS advisory and various Board of Auditors reports have acknowledged as being weak.
总体而言，青年和贸易方案的工作是审查如何调整该中心的现有工具，以满足青年人的需求，并探索加强全球青年就业所需要的新工具。	Overall, the youth and trade programme examines how the Centre's existing tools can be adapted to serve the needs of youth and considers new tools that are needed to strengthen youth employment globally.
27. 又请秘书长每年向委员会提交一份报告，说明国家层面在审查主题方面的进展情况；	27. Also requests the Secretary-General to submit to the Commission, on an annual basis, a report on progress made on the review theme at the national level;
又确认执行《北京宣言》和《行动纲要》和大会第二十三届特别会议成果以及会员国履行《消除对妇女一切形式歧视公约》 所规定的义务对于实现男女平等和增强妇女和女孩权利以及实现她们的人权具有相互加强效应，	Recognizing also that the implementation of the Beijing Declaration and Platform for Action, the outcomes of the twenty-third special session of the General Assembly and the fulfilment of the obligations of States under the Convention on the Elimination of All Forms of Discrimination against Women are mutually reinforcing in achieving gender equality and the empowerment of women and girls, as well as the realization of their human rights,
临时选举委员会已经全面运作。	The Provisional Electoral Council is already fully operational.
然而，在这个紧要关头，在选举进程进入决定性阶段的时刻，我们却看到暴力行为令人不安地攀升，特别是有些街区再度出现武装团体之间的对峙，侵犯民众、包括值勤警察的匪帮行为有增无减，在普遍敌视选举的激进反对派组织示威期间，还频繁发生骚乱！	At this critical juncture, however, as the electoral process enters its decisive phase, we are witnessing a worrying rise in violence, characterized in particular by renewed clashes among armed groups in certain low-income neighbourhoods, a perceptible increase in crime characterized by attacks on individuals, including policemen on duty, and frequent disturbances at demonstrations organized by radical opposition groups that are generally hostile to the holding of elections.
行预咨委会敦促秘书长继续探讨处理迟缴摊款问题的可选办法，例如审查现有的摊款通知发出机制，催缴未缴摊款以及与会员国更积极地互动。	The Committee urges the Secretary-General to continue exploring the available options to address the issue of late payment of assessed contributions, such as reviewing existing mechanisms for issuing assessment letters, following up on outstanding assessments and engaging more actively with Member States.
同样，许多关键伙伴对发布出版物的临时性提出批评意见，并指出需要更强有力的规划和协商。	Likewise, the ad hoc nature of publication launches was viewed critically by multiple key partners who indicated that stronger planning and consultation were needed.
全球土地工具网络不断壮大，目前已拥有66个合作伙伴和2115名个人成员。	The Global Land Tool Network (GLTN) has grown to include 66 partners and 2,115 individual members.
